"SANGER_MODEL_ID","BROAD_ID","COSMIC_ID","CCLE_ID","RRID","MODEL_NAME","SYNONYMS","TCGA_CODE","TISSUE","CANCER_TYPE","CANCER_TYPE_DETAIL"
"SIDM01774","ACH-000205",NA,"PK59_PANCREAS",NA,"PK-59",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Carcinoma"
"SIDM00192","ACH-000286",NA,"SNU1033_LARGE_INTESTINE","CVCL_5002","SNU-1033",NA,"READ","Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM01447","ACH-000289",NA,"SNU466_CENTRAL_NERVOUS_SYSTEM","CVCL_5064","SNU-466",NA,"GB","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM01554","ACH-000331",NA,"ISTMES2_PLEURA","CVCL_1312","IST-MES-2",NA,"PLEMESO","Lung","Mesothelioma","Pleural Epithelioid Mesothelioma"
"SIDM01689","ACH-000492",NA,"MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"MUTZ-5",NA,"BLL","Haematopoietic and Lymphoid","B-Lymphoblastic Leukemia","B Acute Lymphoblastic Leukemia"
"SIDM01460","ACH-000592",NA,"TM31_CENTRAL_NERVOUS_SYSTEM","CVCL_6735","TM-31",NA,"ASTR","Central Nervous System","Glioma","Astrocytoma"
"SIDM00497","ACH-000683",NA,"SNU503_LARGE_INTESTINE","CVCL_5071","SNU-503","NCI-SNU-503","READ","Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM01435","ACH-000686",NA,"SNU878_LIVER","CVCL_5102","SNU-878",NA,"HCC","Liver","Hepatocellular Carcinoma","Hepatocellular Carcinoma"
"SIDM01587","ACH-000753",NA,"JMSU1_URINARY_TRACT","CVCL_2081","JMSU-1",NA,"BLCA","Bladder","Bladder Carcinoma","Bladder Carcinoma"
"SIDM01612","ACH-000946",NA,"HEC265_ENDOMETRIUM","CVCL_2928","HEC-265",NA,"UCEC","Endometrium","Endometrial Carcinoma","Endometrial Adenocarcinoma"
"SIDM00194","ACH-000532","1660035","SNU61_LARGE_INTESTINE","CVCL_5078","SNU-61","NCI-SNU-61","COREAD","Large Intestine","Colorectal Carcinoma","Rectal Adenocarcinoma"
"SIDM00074","ACH-000402","910707","BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1088","BL-70","IARC/BL70","BL","Haematopoietic and Lymphoid","Burkitt's Lymphoma","Burkitt's Lymphoma"
"SIDM01529","ACH-000011",NA,"253J_URINARY_TRACT","CVCL_7935","253J",NA,"BLCA","Bladder","Bladder Carcinoma","Bladder Carcinoma"
"SIDM01387","ACH-000921",NA,"NCIH1339_LUNG","CVCL_A472","NCI-H1339",NA,"LUSC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00217","ACH-000999","1659823","SNU1040_LARGE_INTESTINE","CVCL_5003","SNU-1040","NCI-SNU-1040","COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00799","ACH-000558","687563","A172_CENTRAL_NERVOUS_SYSTEM","CVCL_0131","A172","A-172 MG","GBM","Central Nervous System","Glioblastoma","Glioblastoma"
"SIDM00993","ACH-000838","1295741","AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1806","AMO-1",NA,"MM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01229","ACH-002217","753616","BE2M17_AUTONOMIC_GANGLIA","CVCL_0167","BE2-M17","SK-N-BE(2)-M17","NB","Peripheral Nervous System","Neuroblastoma","Neuroblastoma"
"SIDM00990","ACH-000603","753534","BEN_LUNG","CVCL_1082","BEN",NA,"UNCLASSIFIED","Lung","Non-Small Cell Lung Carcinoma","Non-Small Cell Lung Carcinoma"
"SIDM00946","ACH-000981","1297446","DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2022","DND-41",NA,"ALL","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Childhood T Acute Lymphoblastic Leukemia"
"SIDM00019","ACH-001140","1333019","NCIH820_LUNG","CVCL_1592","NCI-H820",NA,NA,"Lung","Non-Small Cell Lung Carcinoma","Papillary Lung Adenocarcinoma"
"SIDM01658","ACH-000598",NA,"KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",NA,"KMS-21-BM",NA,"PCM","Unknown","Unknown",NA
"SIDM00216","ACH-000989","1659928","SNU175_LARGE_INTESTINE","CVCL_5031","SNU-175","NCI-SNU-175","COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01471","ACH-000604",NA,"KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2095","KYO-1",NA,"CML","Haematopoietic and Lymphoid","Chronic Myelogenous Leukemia","Chronic Myelogenous Leukemia"
"SIDM01752","ACH-000685",NA,"L33_PANCREAS",NA,"L3-3",NA,"PAASC","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM00422","ACH-001203","1331039","SUPHD1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2208","SUP-HD1",NA,"UNCLASSIFIED","Haematopoietic and Lymphoid","Hodgkin's Lymphoma","Hodgkin's Lymphoma"
"SIDM01397","ACH-000765",NA,"WM983B_SKIN","CVCL_6809","WM983B",NA,"MEL","Skin","Melanoma","Melanoma"
"SIDM01735","ACH-000808",NA,"HUH28_BILIARY_TRACT",NA,"HuH-28",NA,"IHCH","Biliary Tract","Biliary Tract Carcinoma","Intrahepatic Cholangiocarcinoma"
"SIDM00046","ACH-000109","1247873","NCIH3255_LUNG","CVCL_6831","H3255","NCI-H3255;H3255_DA","LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM01577","ACH-000889",NA,"KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_2981","KMM-1",NA,"PCM","Haematopoietic and Lymphoid","Plasma Cell Myeloma","Plasma Cell Myeloma"
"SIDM01069","ACH-000667","1240145","HCC44_LUNG","CVCL_2060","HCC-44","HCC0044","LUAD","Lung","Non-Small Cell Lung Carcinoma","Lung Adenocarcinoma"
"SIDM00128","ACH-002249","1240161","JHU011_UPPER_AERODIGESTIVE_TRACT","CVCL_5986","JHU-011","JHU-011-SCC;JHU-O11;HNSCC 011","HNSC","Head and Neck","Head and Neck Carcinoma","Laryngeal Squamous Cell Carcinoma"
"SIDM01037","ACH-000711","1298157","JIMT1_BREAST","CVCL_2077","JIMT-1",NA,"BRCA","Breast","Breast Carcinoma","Breast Carcinoma"
"SIDM00296","ACH-002051","753588","LU134A_LUNG","CVCL_1387","LU-134-A","NCC-c-Lu-134-A-H","SCLC","Lung","Small Cell Lung Carcinoma","Small Cell Lung Carcinoma"
"SIDM00455","ACH-000599","1298526","PATU8902_PANCREAS","CVCL_1845","PA-TU-8902",NA,"PAAD","Pancreas","Pancreatic Carcinoma","Pancreatic Adenocarcinoma"
"SIDM00454","ACH-000689","971774","RH18_SOFT_TISSUE","CVCL_1659","RH-18","SJRH18","UNCLASSIFIED","Soft Tissue","Rhabdomyosarcoma","Embryonal Rhabdomyosarcoma"
"SIDM01163","ACH-000677","724878","SW1573_LUNG","CVCL_1720","SW1573",NA,"LUAD","Lung","Non-Small Cell Lung Carcinoma","Bronchiolo-Alveolar Lung Carcinoma"
"SIDM01168","ACH-001399","909753","SW626_OVARY","CVCL_1725","SW626",NA,"OV","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00234","ACH-002201","946357","TCYIK_CERVIX","CVCL_1737","TC-YIK",NA,"UNCLASSIFIED","Cervix","Other Solid Cancers","Cervical Small Cell Carcinoma"
"SIDM01183","ACH-001417","909779","UMC11_LUNG","CVCL_1784","UMC-11","NCI-UMC-11","UNCLASSIFIED","Lung","Other Solid Cancers","Lung Carcinoid Tumor"
"SIDM01300",NA,NA,NA,NA,"HCM-SANG-0280-C18","WTSI-COLO_081",NA,"Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM01287",NA,NA,NA,NA,"HCM-SANG-0290-C15","WTSI-OESO_005",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM01949",NA,NA,NA,NA,"HCM-SANG-0523-C15","WTSI-OESO_181",NA,"Esophagus","Esophageal Carcinoma","Esophageal Adenocarcinoma"
"SIDM00959","ACH-000641","910566","CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_0216","CMK",NA,"LAML","Haematopoietic and Lymphoid","Acute Myeloid Leukemia","Childhood Acute Megakaryoblastic Leukemia"
"SIDM00984","ACH-001452","906695","BONNA12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1090","BONNA-12",NA,"HCL","Haematopoietic and Lymphoid","Other Blood Cancers","Hairy Cell Leukemia"
"SIDM00980","ACH-000948","910924","2313287_STOMACH","CVCL_1046","23132-87","St 23132","STAD","Stomach","Gastric Carcinoma","Gastric Adenocarcinoma"
"SIDM01240","ACH-001002","1287706","451LU_SKIN","CVCL_6357","451Lu","WM 451-Lu;WC00059;LU451;EST81","SKCM","Skin","Melanoma","Melanoma"
"SIDM00849","ACH-000429","910920","A704_KIDNEY","CVCL_1065","A704",NA,"KIRC","Kidney","Kidney Carcinoma","Renal Cell Carcinoma"
"SIDM00826","ACH-001039","905961","COLO205_LARGE_INTESTINE","CVCL_0218","COLO-205","Co 205","COREAD","Large Intestine","Colorectal Carcinoma","Colon Adenocarcinoma"
"SIDM00951","ACH-002222","753548","CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","CVCL_1150","CTV-1",NA,"LAML","Haematopoietic and Lymphoid","T-Lymphoblastic Leukemia","Adult T Acute Lymphoblastic Leukemia"
"SIDM00887","ACH-000211","906833","DAOY_CENTRAL_NERVOUS_SYSTEM","CVCL_1167","Daoy","D324 Med","MB","Central Nervous System","Other Solid Cancers","Medulloblastoma"
