Drug_ID,Name,Synonyms,Drug_CID,Targets,Target_Pathway,Datasets,Screening_Site,Source_CID
1242,(5Z)-7-Oxozeaenol,"5Z-7-Oxozeaenol, LL-Z1640-2",9863776,TAK1,"Other, kinases",GDSC1,SANGER,GDSC
1824,123138,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1820,123829,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1836,150412,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
179,5-Fluorouracil,5-FU,3385,Antimetabolite (DNA & RNA),Other,GDSC1,MGH,GDSC
1073,5-Fluorouracil,5-FU,3385,Antimetabolite (DNA & RNA),Other,GDSC2,SANGER,GDSC
2156,5-azacytidine,NA,9444,DNA methyltransferases,Other,GDSC2,SANGER,PubChem [ID Exchange]
1826,50869,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1839,615590,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1840,630600,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1829,667880,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1828,720427,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1832,729189,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1833,741909,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1834,743380,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1821,765771,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1844,776928,NA,NA,NA,Unclassified,GDSC2,SANGER,NA
1359,965-D2,NA,NA,"MKNK1, MKNK2, PIM1, PIM3","Other, kinases",GDSC1,SANGER,NA
1360,993-D2,NA,NA,"MKNK1, MKNK2","Other, kinases",GDSC1,SANGER,NA
2157,A-366,NA,76285486,"EHMT1, EHMT2",Chromatin histone methylation,GDSC2,SANGER,PubChem [ID Exchange]
86,A-443654,KIN001-139,10172943,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,GDSC1,MGH,GDSC
55,A-770041,KIN001-111,9549184,"LCK, FYN","Other, kinases",GDSC1,MGH,GDSC
477,A-83-01,NA,16218924,TGFB,Other,GDSC1,MGH,PubChem [ID Exchange]
1910,ABT737,NA,11228183,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",Apoptosis regulation,GDSC2,SANGER,GDSC
264,ACY-1215,NA,53340666,HDAC6,Chromatin histone acetylation,GDSC1,MGH,PubChem [ID Exchange]
1913,AGI-5198,IDH-C35,56645356,IDH1 (R132H),Metabolism,GDSC2,SANGER,GDSC
562,AGI-6780,NA,71299339,IDH2(R140Q),Metabolism,GDSC1,MGH,PubChem [ID Exchange]
1634,AGI-6780,AK162157,71299339,IDH2 R140Q mutant,Metabolism,GDSC2,SANGER,GDSC
2039,AGK2,NA,2130404,"BAZ2A, BAZ2B",Chromatin histone acetylation,GDSC2,SANGER,PubChem [ID Exchange]
1001,AICA Ribonucleotide,"AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide",65110,AMPK agonist,Metabolism,GDSC1,SANGER,GDSC
171,AKT inhibitor VIII,"Akti-1/2, KIN001-102",135398501,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,GDSC1,MGH,GDSC [Legacy CID 10196499]
228,AKT inhibitor VIII,"Akti-1/2, KIN001-102",135398501,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,GDSC1,MGH,GDSC [Legacy CID 10196499]
2045,AMG-319,AMG319,68947304,PI3K (beta sparing),PI3K/MTOR signaling,GDSC2,SANGER,GDSC
272,AR-42,"HDAC-42, AR 42, AR42",6918848,HDAC1,Chromatin histone acetylation,GDSC1,MGH,GDSC
474,ARRY-520,NA,44224257,KIF11,Mitosis,GDSC1,MGH,PubChem [ID Exchange]
207,AS601245,NA,10109823,"JNK1, JNK2, JNK2",JNK and p38 signaling,GDSC1,MGH,GDSC
224,AS605240,"KIN001-173, AS-605240",5289247,PI3Kgamma,PI3K/MTOR signaling,GDSC1,MGH,GDSC
