Cell	Drug	Drug_Name
SIDM00885	5311128	Goserelin
SIDM00877	5311128	Goserelin
SIDM00774	5311128	Goserelin
SIDM00772	5311128	Goserelin
SIDM00954	5311128	Goserelin
SIDM01001	5311128	Goserelin
SIDM01042	5311128	Goserelin
SIDM00562	5311128	Goserelin
SIDM00241	5311128	Goserelin
SIDM01187	5311128	Goserelin
SIDM00332	5311128	Goserelin
SIDM00938	5311128	Goserelin
SIDM00963	5311128	Goserelin
SIDM00879	5311128	Goserelin
SIDM00872	5311128	Goserelin
SIDM00884	5311128	Goserelin
SIDM00874	5311128	Goserelin
SIDM00675	5311128	Goserelin
SIDM00097	5311128	Goserelin
SIDM00148	5311128	Goserelin
SIDM00122	5311128	Goserelin
SIDM00135	5311128	Goserelin
SIDM00146	5311128	Goserelin
SIDM00893	5311128	Goserelin
SIDM00940	5311128	Goserelin
SIDM01056	5311128	Goserelin
SIDM00882	5311128	Goserelin
SIDM00878	5311128	Goserelin
SIDM00875	5311128	Goserelin
SIDM00673	5311128	Goserelin
SIDM00633	5311128	Goserelin
SIDM00528	5311128	Goserelin
SIDM00272	5311128	Goserelin
SIDM00628	5311128	Goserelin
SIDM01186	5311128	Goserelin
SIDM00971	5311128	Goserelin
SIDM00898	5311128	Goserelin
SIDM00928	5311128	Goserelin
SIDM00933	5311128	Goserelin
SIDM00630	5311128	Goserelin
SIDM00529	5311128	Goserelin
SIDM00920	5311128	Goserelin
SIDM00892	5311128	Goserelin
SIDM00629	5311128	Goserelin
SIDM01002	5311128	Goserelin
SIDM00881	5311128	Goserelin
SIDM00870	5311128	Goserelin
SIDM01062	5311128	Goserelin
SIDM01037	5311128	Goserelin
SIDM00631	5311128	Goserelin
SIDM00866	5311128	Goserelin
SIDM00005	5311128	Goserelin
SIDM00147	5311128	Goserelin
SIDM00314	5311128	Goserelin
SIDM00897	5311128	Goserelin
SIDM01590	5311128	Goserelin
SIDM01591	5311128	Goserelin
SIDM01594	5311128	Goserelin
SIDM01622	5311128	Goserelin
SIDM01701	5311128	Goserelin
SIDM01702	5311128	Goserelin
SIDM00885	657181	Leuprolide
SIDM00877	657181	Leuprolide
SIDM00774	657181	Leuprolide
SIDM00772	657181	Leuprolide
SIDM00954	657181	Leuprolide
SIDM01001	657181	Leuprolide
SIDM01042	657181	Leuprolide
SIDM00562	657181	Leuprolide
SIDM00241	657181	Leuprolide
SIDM01187	657181	Leuprolide
SIDM00332	657181	Leuprolide
SIDM00938	657181	Leuprolide
SIDM00963	657181	Leuprolide
SIDM00879	657181	Leuprolide
SIDM00872	657181	Leuprolide
SIDM00884	657181	Leuprolide
SIDM00874	657181	Leuprolide
SIDM00675	657181	Leuprolide
SIDM00097	657181	Leuprolide
SIDM00148	657181	Leuprolide
SIDM00122	657181	Leuprolide
SIDM00135	657181	Leuprolide
SIDM00146	657181	Leuprolide
SIDM00893	657181	Leuprolide
SIDM00940	657181	Leuprolide
SIDM01056	657181	Leuprolide
SIDM00882	657181	Leuprolide
SIDM00878	657181	Leuprolide
SIDM00875	657181	Leuprolide
SIDM00673	657181	Leuprolide
SIDM00633	657181	Leuprolide
SIDM00528	657181	Leuprolide
SIDM00272	657181	Leuprolide
SIDM00628	657181	Leuprolide
SIDM01186	657181	Leuprolide
SIDM00971	657181	Leuprolide
SIDM00898	657181	Leuprolide
SIDM00928	657181	Leuprolide
SIDM00933	657181	Leuprolide
SIDM00630	657181	Leuprolide
SIDM00529	657181	Leuprolide
SIDM00920	657181	Leuprolide
SIDM00892	657181	Leuprolide
SIDM00629	657181	Leuprolide
SIDM01002	657181	Leuprolide
SIDM00881	657181	Leuprolide
SIDM00870	657181	Leuprolide
SIDM01062	657181	Leuprolide
SIDM01037	657181	Leuprolide
SIDM00631	657181	Leuprolide
SIDM00866	657181	Leuprolide
SIDM00005	657181	Leuprolide
SIDM00147	657181	Leuprolide
SIDM00314	657181	Leuprolide
SIDM00897	657181	Leuprolide
SIDM01590	657181	Leuprolide
SIDM01591	657181	Leuprolide
SIDM01594	657181	Leuprolide
SIDM01622	657181	Leuprolide
SIDM01701	657181	Leuprolide
SIDM01702	657181	Leuprolide
SIDM00885	2187	Anastrazole
SIDM00877	2187	Anastrazole
SIDM00774	2187	Anastrazole
SIDM00772	2187	Anastrazole
SIDM00954	2187	Anastrazole
SIDM01001	2187	Anastrazole
SIDM01042	2187	Anastrazole
SIDM00562	2187	Anastrazole
SIDM00241	2187	Anastrazole
SIDM01187	2187	Anastrazole
SIDM00332	2187	Anastrazole
SIDM00938	2187	Anastrazole
SIDM00963	2187	Anastrazole
SIDM00879	2187	Anastrazole
SIDM00872	2187	Anastrazole
SIDM00884	2187	Anastrazole
SIDM00874	2187	Anastrazole
SIDM00675	2187	Anastrazole
SIDM00097	2187	Anastrazole
SIDM00148	2187	Anastrazole
SIDM00122	2187	Anastrazole
SIDM00135	2187	Anastrazole
SIDM00146	2187	Anastrazole
SIDM00893	2187	Anastrazole
SIDM00940	2187	Anastrazole
SIDM01056	2187	Anastrazole
SIDM00882	2187	Anastrazole
SIDM00878	2187	Anastrazole
SIDM00875	2187	Anastrazole
SIDM00673	2187	Anastrazole
SIDM00633	2187	Anastrazole
SIDM00528	2187	Anastrazole
SIDM00272	2187	Anastrazole
SIDM00628	2187	Anastrazole
SIDM01186	2187	Anastrazole
SIDM00971	2187	Anastrazole
SIDM00898	2187	Anastrazole
SIDM00928	2187	Anastrazole
SIDM00933	2187	Anastrazole
SIDM00630	2187	Anastrazole
SIDM00529	2187	Anastrazole
SIDM00920	2187	Anastrazole
SIDM00892	2187	Anastrazole
SIDM00629	2187	Anastrazole
SIDM01002	2187	Anastrazole
SIDM00881	2187	Anastrazole
SIDM00870	2187	Anastrazole
SIDM01062	2187	Anastrazole
SIDM01037	2187	Anastrazole
SIDM00631	2187	Anastrazole
SIDM00866	2187	Anastrazole
SIDM00005	2187	Anastrazole
SIDM00147	2187	Anastrazole
SIDM00314	2187	Anastrazole
SIDM00897	2187	Anastrazole
SIDM01590	2187	Anastrazole
SIDM01591	2187	Anastrazole
SIDM01594	2187	Anastrazole
SIDM01622	2187	Anastrazole
SIDM01701	2187	Anastrazole
SIDM01702	2187	Anastrazole
SIDM00885	3902	Letrozole
SIDM00877	3902	Letrozole
SIDM00774	3902	Letrozole
SIDM00772	3902	Letrozole
SIDM00954	3902	Letrozole
SIDM01001	3902	Letrozole
SIDM01042	3902	Letrozole
SIDM00562	3902	Letrozole
SIDM00241	3902	Letrozole
SIDM01187	3902	Letrozole
SIDM00332	3902	Letrozole
SIDM00938	3902	Letrozole
SIDM00963	3902	Letrozole
SIDM00879	3902	Letrozole
SIDM00872	3902	Letrozole
SIDM00884	3902	Letrozole
SIDM00874	3902	Letrozole
SIDM00675	3902	Letrozole
SIDM00097	3902	Letrozole
SIDM00148	3902	Letrozole
