Cell	Drug	Drug_Name
SIDM00118	138611145	Adagrasib
SIDM00150	138611145	Adagrasib
SIDM00776	138611145	Adagrasib
SIDM00660	138611145	Adagrasib
SIDM00677	138611145	Adagrasib
SIDM00778	138611145	Adagrasib
SIDM00779	138611145	Adagrasib
SIDM01090	138611145	Adagrasib
SIDM00282	138611145	Adagrasib
SIDM00842	138611145	Adagrasib
SIDM01233	138611145	Adagrasib
SIDM01197	138611145	Adagrasib
SIDM00681	138611145	Adagrasib
SIDM00527	138611145	Adagrasib
SIDM00944	138611145	Adagrasib
SIDM00781	138611145	Adagrasib
SIDM00783	138611145	Adagrasib
SIDM00789	138611145	Adagrasib
SIDM00136	138611145	Adagrasib
SIDM00826	138611145	Adagrasib
SIDM00841	138611145	Adagrasib
SIDM00541	138611145	Adagrasib
SIDM00534	138611145	Adagrasib
SIDM00537	138611145	Adagrasib
SIDM00839	138611145	Adagrasib
SIDM00359	138611145	Adagrasib
SIDM00812	138611145	Adagrasib
SIDM00834	138611145	Adagrasib
SIDM00837	138611145	Adagrasib
SIDM01168	138611145	Adagrasib
SIDM00833	138611145	Adagrasib
SIDM00832	138611145	Adagrasib
SIDM00782	138611145	Adagrasib
SIDM00957	138611145	Adagrasib
SIDM00488	138611145	Adagrasib
SIDM00680	138611145	Adagrasib
SIDM00487	138611145	Adagrasib
SIDM00835	138611145	Adagrasib
SIDM00217	138611145	Adagrasib
SIDM00216	138611145	Adagrasib
SIDM00214	138611145	Adagrasib
SIDM00194	138611145	Adagrasib
SIDM00193	138611145	Adagrasib
SIDM00498	138611145	Adagrasib
SIDM00777	138611145	Adagrasib
SIDM01096	138611145	Adagrasib
SIDM00049	138611145	Adagrasib
SIDM00215	138611145	Adagrasib
SIDM00014	138611145	Adagrasib
SIDM00036	138611145	Adagrasib
SIDM00068	138611145	Adagrasib
SIDM00071	138611145	Adagrasib
SIDM00171	138611145	Adagrasib
SIDM00192	138611145	Adagrasib
SIDM00497	138611145	Adagrasib
SIDM00500	138611145	Adagrasib
SIDM00536	138611145	Adagrasib
SIDM00780	138611145	Adagrasib
SIDM00823	138611145	Adagrasib
SIDM00836	138611145	Adagrasib
SIDM00840	138611145	Adagrasib
SIDM00945	138611145	Adagrasib
SIDM00960	138611145	Adagrasib
SIDM01266	138611145	Adagrasib
SIDM01267	138611145	Adagrasib
SIDM01268	138611145	Adagrasib
SIDM01272	138611145	Adagrasib
SIDM01273	138611145	Adagrasib
SIDM01276	138611145	Adagrasib
SIDM01278	138611145	Adagrasib
SIDM01279	138611145	Adagrasib
SIDM01281	138611145	Adagrasib
SIDM01282	138611145	Adagrasib
SIDM01284	138611145	Adagrasib
SIDM01288	138611145	Adagrasib
SIDM01293	138611145	Adagrasib
SIDM01297	138611145	Adagrasib
SIDM01299	138611145	Adagrasib
SIDM01304	138611145	Adagrasib
SIDM01305	138611145	Adagrasib
SIDM01306	138611145	Adagrasib
SIDM01307	138611145	Adagrasib
SIDM01309	138611145	Adagrasib
SIDM01313	138611145	Adagrasib
SIDM01314	138611145	Adagrasib
SIDM01491	138611145	Adagrasib
SIDM01564	138611145	Adagrasib
SIDM01613	138611145	Adagrasib
SIDM01705	138611145	Adagrasib
SIDM01942	138611145	Adagrasib
SIDM01943	138611145	Adagrasib
SIDM01950	138611145	Adagrasib
SIDM01951	138611145	Adagrasib
SIDM01954	138611145	Adagrasib
SIDM01955	138611145	Adagrasib
SIDM01956	138611145	Adagrasib
SIDM01959	138611145	Adagrasib
SIDM01960	138611145	Adagrasib
SIDM01962	138611145	Adagrasib
SIDM01963	138611145	Adagrasib
SIDM01966	138611145	Adagrasib
SIDM02015	138611145	Adagrasib
SIDM02016	138611145	Adagrasib
SIDM02017	138611145	Adagrasib
SIDM02018	138611145	Adagrasib
SIDM02019	138611145	Adagrasib
SIDM02022	138611145	Adagrasib
SIDM02025	138611145	Adagrasib
SIDM02026	138611145	Adagrasib
SIDM02027	138611145	Adagrasib
SIDM02029	138611145	Adagrasib
SIDM02030	138611145	Adagrasib
SIDM02034	138611145	Adagrasib
SIDM02035	138611145	Adagrasib
SIDM02038	138611145	Adagrasib
SIDM02039	138611145	Adagrasib
SIDM02041	138611145	Adagrasib
SIDM02043	138611145	Adagrasib
SIDM02044	138611145	Adagrasib
SIDM02045	138611145	Adagrasib
SIDM02047	138611145	Adagrasib
SIDM02048	138611145	Adagrasib
SIDM02050	138611145	Adagrasib
SIDM02051	138611145	Adagrasib
SIDM02053	138611145	Adagrasib
SIDM02055	138611145	Adagrasib
SIDM02057	138611145	Adagrasib
SIDM02059	138611145	Adagrasib
SIDM02062	138611145	Adagrasib
SIDM02063	138611145	Adagrasib
SIDM02064	138611145	Adagrasib
SIDM02065	138611145	Adagrasib
SIDM02066	138611145	Adagrasib
SIDM02067	138611145	Adagrasib
SIDM02069	138611145	Adagrasib
SIDM02072	138611145	Adagrasib
SIDM02073	138611145	Adagrasib
SIDM02075	138611145	Adagrasib
SIDM02077	138611145	Adagrasib
SIDM00118	137278711	Sotorasib
SIDM00150	137278711	Sotorasib
SIDM00776	137278711	Sotorasib
SIDM00660	137278711	Sotorasib
SIDM00677	137278711	Sotorasib
SIDM00778	137278711	Sotorasib
SIDM00779	137278711	Sotorasib
SIDM01090	137278711	Sotorasib
SIDM00282	137278711	Sotorasib
SIDM00842	137278711	Sotorasib
SIDM01233	137278711	Sotorasib
SIDM01197	137278711	Sotorasib
SIDM00681	137278711	Sotorasib
SIDM00527	137278711	Sotorasib
SIDM00944	137278711	Sotorasib
SIDM00781	137278711	Sotorasib
SIDM00783	137278711	Sotorasib
SIDM00789	137278711	Sotorasib
SIDM00136	137278711	Sotorasib
SIDM00826	137278711	Sotorasib
SIDM00841	137278711	Sotorasib
SIDM00541	137278711	Sotorasib
SIDM00534	137278711	Sotorasib
SIDM00537	137278711	Sotorasib
SIDM00839	137278711	Sotorasib
SIDM00359	137278711	Sotorasib
SIDM00812	137278711	Sotorasib
SIDM00834	137278711	Sotorasib
SIDM00837	137278711	Sotorasib
SIDM01168	137278711	Sotorasib
SIDM00833	137278711	Sotorasib
SIDM00832	137278711	Sotorasib
SIDM00782	137278711	Sotorasib
SIDM00957	137278711	Sotorasib
SIDM00488	137278711	Sotorasib
SIDM00680	137278711	Sotorasib
SIDM00487	137278711	Sotorasib
SIDM00835	137278711	Sotorasib
SIDM00217	137278711	Sotorasib
SIDM00216	137278711	Sotorasib
SIDM00214	137278711	Sotorasib
SIDM00194	137278711	Sotorasib
SIDM00193	137278711	Sotorasib
SIDM00498	137278711	Sotorasib
SIDM00777	137278711	Sotorasib
SIDM01096	137278711	Sotorasib
SIDM00049	137278711	Sotorasib
SIDM00215	137278711	Sotorasib
SIDM00014	137278711	Sotorasib
SIDM00036	137278711	Sotorasib
SIDM00068	137278711	Sotorasib
SIDM00071	137278711	Sotorasib
SIDM00171	137278711	Sotorasib
SIDM00192	137278711	Sotorasib
SIDM00497	137278711	Sotorasib
SIDM00500	137278711	Sotorasib
SIDM00536	137278711	Sotorasib
SIDM00780	137278711	Sotorasib
SIDM00823	137278711	Sotorasib
SIDM00836	137278711	Sotorasib
SIDM00840	137278711	Sotorasib
SIDM00945	137278711	Sotorasib
SIDM00960	137278711	Sotorasib
SIDM01266	137278711	Sotorasib
SIDM01267	137278711	Sotorasib
SIDM01268	137278711	Sotorasib
SIDM01272	137278711	Sotorasib
SIDM01273	137278711	Sotorasib
SIDM01276	137278711	Sotorasib
SIDM01278	137278711	Sotorasib
SIDM01279	137278711	Sotorasib
SIDM01281	137278711	Sotorasib
SIDM01282	137278711	Sotorasib
SIDM01284	137278711	Sotorasib
SIDM01288	137278711	Sotorasib
SIDM01293	137278711	Sotorasib
SIDM01297	137278711	Sotorasib
SIDM01299	137278711	Sotorasib
SIDM01304	137278711	Sotorasib
SIDM01305	137278711	Sotorasib
SIDM01306	137278711	Sotorasib
SIDM01307	137278711	Sotorasib
SIDM01309	137278711	Sotorasib
SIDM01313	137278711	Sotorasib
SIDM01314	137278711	Sotorasib
SIDM01491	137278711	Sotorasib
SIDM01564	137278711	Sotorasib
SIDM01613	137278711	Sotorasib
SIDM01705	137278711	Sotorasib
