Cell	Drug	Drug_Name
SIDM01387	36462	Etoposide
SIDM00296	36462	Etoposide
SIDM00719	36462	Etoposide
SIDM00646	36462	Etoposide
SIDM01739	36462	Etoposide
SIDM00143	36462	Etoposide
SIDM00223	36462	Etoposide
SIDM00183	36462	Etoposide
SIDM00245	36462	Etoposide
SIDM00230	36462	Etoposide
SIDM00294	36462	Etoposide
SIDM00292	36462	Etoposide
SIDM00365	36462	Etoposide
SIDM00510	36462	Etoposide
SIDM00506	36462	Etoposide
SIDM00522	36462	Etoposide
SIDM00523	36462	Etoposide
SIDM00521	36462	Etoposide
SIDM00653	36462	Etoposide
SIDM00652	36462	Etoposide
SIDM00650	36462	Etoposide
SIDM00648	36462	Etoposide
SIDM00698	36462	Etoposide
SIDM00735	36462	Etoposide
SIDM00699	36462	Etoposide
SIDM00731	36462	Etoposide
SIDM00766	36462	Etoposide
SIDM00792	36462	Etoposide
SIDM00741	36462	Etoposide
SIDM00767	36462	Etoposide
SIDM00710	36462	Etoposide
SIDM00706	36462	Etoposide
SIDM00704	36462	Etoposide
SIDM00733	36462	Etoposide
SIDM00730	36462	Etoposide
SIDM00761	36462	Etoposide
SIDM01118	36462	Etoposide
SIDM00865	36462	Etoposide
SIDM00953	36462	Etoposide
SIDM00965	36462	Etoposide
SIDM00927	36462	Etoposide
SIDM01071	36462	Etoposide
SIDM01078	36462	Etoposide
SIDM01126	36462	Etoposide
SIDM01121	36462	Etoposide
SIDM01117	36462	Etoposide
SIDM01131	36462	Etoposide
SIDM01134	36462	Etoposide
SIDM01149	36462	Etoposide
SIDM00029	36462	Etoposide
SIDM00367	36462	Etoposide
SIDM01482	36462	Etoposide
SIDM01490	36462	Etoposide
SIDM01504	36462	Etoposide
SIDM01672	36462	Etoposide
SIDM01503	36462	Etoposide
SIDM01675	36462	Etoposide
SIDM00524	36462	Etoposide
SIDM00654	36462	Etoposide
SIDM00760	36462	Etoposide
SIDM00721	36462	Etoposide
SIDM00770	36462	Etoposide
SIDM01129	36462	Etoposide
SIDM01128	36462	Etoposide
SIDM01679	36462	Etoposide
SIDM00511	36462	Etoposide
SIDM00697	36462	Etoposide
SIDM00293	36462	Etoposide
SIDM01156	36462	Etoposide
SIDM00368	36462	Etoposide
SIDM00915	36462	Etoposide
SIDM00509	36462	Etoposide
SIDM01387	5702198	Cisplatin
SIDM00296	5702198	Cisplatin
SIDM00719	5702198	Cisplatin
SIDM00646	5702198	Cisplatin
SIDM01739	5702198	Cisplatin
SIDM00143	5702198	Cisplatin
SIDM00223	5702198	Cisplatin
SIDM00183	5702198	Cisplatin
SIDM00245	5702198	Cisplatin
SIDM00230	5702198	Cisplatin
SIDM00294	5702198	Cisplatin
SIDM00292	5702198	Cisplatin
SIDM00365	5702198	Cisplatin
SIDM00510	5702198	Cisplatin
SIDM00506	5702198	Cisplatin
SIDM00522	5702198	Cisplatin
SIDM00523	5702198	Cisplatin
SIDM00521	5702198	Cisplatin
SIDM00653	5702198	Cisplatin
SIDM00652	5702198	Cisplatin
SIDM00650	5702198	Cisplatin
SIDM00648	5702198	Cisplatin
SIDM00698	5702198	Cisplatin
SIDM00735	5702198	Cisplatin
SIDM00699	5702198	Cisplatin
SIDM00731	5702198	Cisplatin
SIDM00766	5702198	Cisplatin
SIDM00792	5702198	Cisplatin
SIDM00741	5702198	Cisplatin
SIDM00767	5702198	Cisplatin
SIDM00710	5702198	Cisplatin
SIDM00706	5702198	Cisplatin
SIDM00704	5702198	Cisplatin
SIDM00733	5702198	Cisplatin
SIDM00730	5702198	Cisplatin
SIDM00761	5702198	Cisplatin
SIDM01118	5702198	Cisplatin
SIDM00865	5702198	Cisplatin
SIDM00953	5702198	Cisplatin
SIDM00965	5702198	Cisplatin
SIDM00927	5702198	Cisplatin
SIDM01071	5702198	Cisplatin
SIDM01078	5702198	Cisplatin
SIDM01126	5702198	Cisplatin
SIDM01121	5702198	Cisplatin
SIDM01117	5702198	Cisplatin
SIDM01131	5702198	Cisplatin
SIDM01134	5702198	Cisplatin
SIDM01149	5702198	Cisplatin
SIDM00029	5702198	Cisplatin
SIDM00367	5702198	Cisplatin
SIDM01482	5702198	Cisplatin
SIDM01490	5702198	Cisplatin
SIDM01504	5702198	Cisplatin
SIDM01672	5702198	Cisplatin
SIDM01503	5702198	Cisplatin
SIDM01675	5702198	Cisplatin
SIDM00524	5702198	Cisplatin
SIDM00654	5702198	Cisplatin
SIDM00760	5702198	Cisplatin
SIDM00721	5702198	Cisplatin
SIDM00770	5702198	Cisplatin
SIDM01129	5702198	Cisplatin
SIDM01128	5702198	Cisplatin
SIDM01679	5702198	Cisplatin
SIDM00511	5702198	Cisplatin
SIDM00697	5702198	Cisplatin
SIDM00293	5702198	Cisplatin
SIDM01156	5702198	Cisplatin
SIDM00368	5702198	Cisplatin
SIDM00915	5702198	Cisplatin
SIDM00509	5702198	Cisplatin
SIDM01387	57327016	Lurbinectedin
SIDM00296	57327016	Lurbinectedin
SIDM00719	57327016	Lurbinectedin
SIDM00646	57327016	Lurbinectedin
SIDM01739	57327016	Lurbinectedin
SIDM00143	57327016	Lurbinectedin
SIDM00223	57327016	Lurbinectedin
SIDM00183	57327016	Lurbinectedin
SIDM00245	57327016	Lurbinectedin
SIDM00230	57327016	Lurbinectedin
SIDM00294	57327016	Lurbinectedin
SIDM00292	57327016	Lurbinectedin
SIDM00365	57327016	Lurbinectedin
SIDM00510	57327016	Lurbinectedin
SIDM00506	57327016	Lurbinectedin
SIDM00522	57327016	Lurbinectedin
SIDM00523	57327016	Lurbinectedin
SIDM00521	57327016	Lurbinectedin
SIDM00653	57327016	Lurbinectedin
SIDM00652	57327016	Lurbinectedin
SIDM00650	57327016	Lurbinectedin
SIDM00648	57327016	Lurbinectedin
SIDM00698	57327016	Lurbinectedin
SIDM00735	57327016	Lurbinectedin
SIDM00699	57327016	Lurbinectedin
SIDM00731	57327016	Lurbinectedin
SIDM00766	57327016	Lurbinectedin
SIDM00792	57327016	Lurbinectedin
SIDM00741	57327016	Lurbinectedin
SIDM00767	57327016	Lurbinectedin
SIDM00710	57327016	Lurbinectedin
SIDM00706	57327016	Lurbinectedin
SIDM00704	57327016	Lurbinectedin
SIDM00733	57327016	Lurbinectedin
SIDM00730	57327016	Lurbinectedin
SIDM00761	57327016	Lurbinectedin
SIDM01118	57327016	Lurbinectedin
SIDM00865	57327016	Lurbinectedin
SIDM00953	57327016	Lurbinectedin
SIDM00965	57327016	Lurbinectedin
SIDM00927	57327016	Lurbinectedin
SIDM01071	57327016	Lurbinectedin
SIDM01078	57327016	Lurbinectedin
SIDM01126	57327016	Lurbinectedin
SIDM01121	57327016	Lurbinectedin
SIDM01117	57327016	Lurbinectedin
SIDM01131	57327016	Lurbinectedin
SIDM01134	57327016	Lurbinectedin
SIDM01149	57327016	Lurbinectedin
SIDM00029	57327016	Lurbinectedin
SIDM00367	57327016	Lurbinectedin
SIDM01482	57327016	Lurbinectedin
SIDM01490	57327016	Lurbinectedin
SIDM01504	57327016	Lurbinectedin
SIDM01672	57327016	Lurbinectedin
SIDM01503	57327016	Lurbinectedin
SIDM01675	57327016	Lurbinectedin
SIDM00524	57327016	Lurbinectedin
SIDM00654	57327016	Lurbinectedin
SIDM00760	57327016	Lurbinectedin
SIDM00721	57327016	Lurbinectedin
SIDM00770	57327016	Lurbinectedin
SIDM01129	57327016	Lurbinectedin
SIDM01128	57327016	Lurbinectedin
SIDM01679	57327016	Lurbinectedin
SIDM00511	57327016	Lurbinectedin
SIDM00697	57327016	Lurbinectedin
SIDM00293	57327016	Lurbinectedin
SIDM01156	57327016	Lurbinectedin
SIDM00368	57327016	Lurbinectedin
SIDM00915	57327016	Lurbinectedin
SIDM00509	57327016	Lurbinectedin
SIDM01387	10030705	Pyrrolobenzodiazepine
SIDM00296	10030705	Pyrrolobenzodiazepine
SIDM00719	10030705	Pyrrolobenzodiazepine
SIDM00646	10030705	Pyrrolobenzodiazepine
SIDM01739	10030705	Pyrrolobenzodiazepine
SIDM00143	10030705	Pyrrolobenzodiazepine
SIDM00223	10030705	Pyrrolobenzodiazepine
SIDM00183	10030705	Pyrrolobenzodiazepine
SIDM00245	10030705	Pyrrolobenzodiazepine
SIDM00230	10030705	Pyrrolobenzodiazepine
SIDM00294	10030705	Pyrrolobenzodiazepine
SIDM00292	10030705	Pyrrolobenzodiazepine
SIDM00365	10030705	Pyrrolobenzodiazepine
SIDM00510	10030705	Pyrrolobenzodiazepine
SIDM00506	10030705	Pyrrolobenzodiazepine
SIDM00522	10030705	Pyrrolobenzodiazepine
SIDM00523	10030705	Pyrrolobenzodiazepine
SIDM00521	10030705	Pyrrolobenzodiazepine
SIDM00653	10030705	Pyrrolobenzodiazepine
SIDM00652	10030705	Pyrrolobenzodiazepine
SIDM00650	10030705	Pyrrolobenzodiazepine
SIDM00648	10030705	Pyrrolobenzodiazepine
SIDM00698	10030705	Pyrrolobenzodiazepine
SIDM00735	10030705	Pyrrolobenzodiazepine
SIDM00699	10030705	Pyrrolobenzodiazepine
SIDM00731	10030705	Pyrrolobenzodiazepine
SIDM00766	10030705	Pyrrolobenzodiazepine
SIDM00792	10030705	Pyrrolobenzodiazepine
SIDM00741	10030705	Pyrrolobenzodiazepine
SIDM00767	10030705	Pyrrolobenzodiazepine
SIDM00710	10030705	Pyrrolobenzodiazepine
SIDM00706	10030705	Pyrrolobenzodiazepine
SIDM00704	10030705	Pyrrolobenzodiazepine
SIDM00733	10030705	Pyrrolobenzodiazepine
SIDM00730	10030705	Pyrrolobenzodiazepine
SIDM00761	10030705	Pyrrolobenzodiazepine
SIDM01118	10030705	Pyrrolobenzodiazepine
SIDM00865	10030705	Pyrrolobenzodiazepine
SIDM00953	10030705	Pyrrolobenzodiazepine
SIDM00965	10030705	Pyrrolobenzodiazepine
SIDM00927	10030705	Pyrrolobenzodiazepine
SIDM01071	10030705	Pyrrolobenzodiazepine
SIDM01078	10030705	Pyrrolobenzodiazepine
SIDM01126	10030705	Pyrrolobenzodiazepine
SIDM01121	10030705	Pyrrolobenzodiazepine
SIDM01117	10030705	Pyrrolobenzodiazepine
SIDM01131	10030705	Pyrrolobenzodiazepine
SIDM01134	10030705	Pyrrolobenzodiazepine
SIDM01149	10030705	Pyrrolobenzodiazepine
SIDM00029	10030705	Pyrrolobenzodiazepine
SIDM00367	10030705	Pyrrolobenzodiazepine
SIDM01482	10030705	Pyrrolobenzodiazepine
SIDM01490	10030705	Pyrrolobenzodiazepine
SIDM01504	10030705	Pyrrolobenzodiazepine
SIDM01672	10030705	Pyrrolobenzodiazepine
SIDM01503	10030705	Pyrrolobenzodiazepine
SIDM01675	10030705	Pyrrolobenzodiazepine
SIDM00524	10030705	Pyrrolobenzodiazepine
SIDM00654	10030705	Pyrrolobenzodiazepine
SIDM00760	10030705	Pyrrolobenzodiazepine
SIDM00721	10030705	Pyrrolobenzodiazepine
SIDM00770	10030705	Pyrrolobenzodiazepine
SIDM01129	10030705	Pyrrolobenzodiazepine
SIDM01128	10030705	Pyrrolobenzodiazepine
SIDM01679	10030705	Pyrrolobenzodiazepine
SIDM00511	10030705	Pyrrolobenzodiazepine
SIDM00697	10030705	Pyrrolobenzodiazepine
SIDM00293	10030705	Pyrrolobenzodiazepine
SIDM01156	10030705	Pyrrolobenzodiazepine
SIDM00368	10030705	Pyrrolobenzodiazepine
SIDM00915	10030705	Pyrrolobenzodiazepine
SIDM00509	10030705	Pyrrolobenzodiazepine
SIDM01387	166041952	Deruxtecan
SIDM00296	166041952	Deruxtecan
SIDM00719	166041952	Deruxtecan
SIDM00646	166041952	Deruxtecan
SIDM01739	166041952	Deruxtecan
SIDM00143	166041952	Deruxtecan
SIDM00223	166041952	Deruxtecan
SIDM00183	166041952	Deruxtecan
SIDM00245	166041952	Deruxtecan
SIDM00230	166041952	Deruxtecan
SIDM00294	166041952	Deruxtecan
SIDM00292	166041952	Deruxtecan
SIDM00365	166041952	Deruxtecan
SIDM00510	166041952	Deruxtecan
SIDM00506	166041952	Deruxtecan
SIDM00522	166041952	Deruxtecan
SIDM00523	166041952	Deruxtecan
SIDM00521	166041952	Deruxtecan
SIDM00653	166041952	Deruxtecan
SIDM00652	166041952	Deruxtecan
SIDM00650	166041952	Deruxtecan
SIDM00648	166041952	Deruxtecan
SIDM00698	166041952	Deruxtecan
SIDM00735	166041952	Deruxtecan
SIDM00699	166041952	Deruxtecan
SIDM00731	166041952	Deruxtecan
SIDM00766	166041952	Deruxtecan
SIDM00792	166041952	Deruxtecan
SIDM00741	166041952	Deruxtecan
SIDM00767	166041952	Deruxtecan
SIDM00710	166041952	Deruxtecan
SIDM00706	166041952	Deruxtecan
SIDM00704	166041952	Deruxtecan
SIDM00733	166041952	Deruxtecan
SIDM00730	166041952	Deruxtecan
SIDM00761	166041952	Deruxtecan
SIDM01118	166041952	Deruxtecan
SIDM00865	166041952	Deruxtecan
SIDM00953	166041952	Deruxtecan
SIDM00965	166041952	Deruxtecan
SIDM00927	166041952	Deruxtecan
SIDM01071	166041952	Deruxtecan
SIDM01078	166041952	Deruxtecan
SIDM01126	166041952	Deruxtecan
SIDM01121	166041952	Deruxtecan
SIDM01117	166041952	Deruxtecan
SIDM01131	166041952	Deruxtecan
SIDM01134	166041952	Deruxtecan
SIDM01149	166041952	Deruxtecan
SIDM00029	166041952	Deruxtecan
SIDM00367	166041952	Deruxtecan
SIDM01482	166041952	Deruxtecan
SIDM01490	166041952	Deruxtecan
SIDM01504	166041952	Deruxtecan
SIDM01672	166041952	Deruxtecan
SIDM01503	166041952	Deruxtecan
SIDM01675	166041952	Deruxtecan
SIDM00524	166041952	Deruxtecan
SIDM00654	166041952	Deruxtecan
SIDM00760	166041952	Deruxtecan
SIDM00721	166041952	Deruxtecan
SIDM00770	166041952	Deruxtecan
SIDM01129	166041952	Deruxtecan
SIDM01128	166041952	Deruxtecan
SIDM01679	166041952	Deruxtecan
SIDM00511	166041952	Deruxtecan
SIDM00697	166041952	Deruxtecan
SIDM00293	166041952	Deruxtecan
SIDM01156	166041952	Deruxtecan
SIDM00368	166041952	Deruxtecan
SIDM00915	166041952	Deruxtecan
SIDM00509	166041952	Deruxtecan
SIDM01387	10953353	Calicheamicin
SIDM00296	10953353	Calicheamicin
SIDM00719	10953353	Calicheamicin
SIDM00646	10953353	Calicheamicin
SIDM01739	10953353	Calicheamicin
SIDM00143	10953353	Calicheamicin
SIDM00223	10953353	Calicheamicin
SIDM00183	10953353	Calicheamicin
SIDM00245	10953353	Calicheamicin
SIDM00230	10953353	Calicheamicin
SIDM00294	10953353	Calicheamicin
SIDM00292	10953353	Calicheamicin
SIDM00365	10953353	Calicheamicin
SIDM00510	10953353	Calicheamicin
SIDM00506	10953353	Calicheamicin
SIDM00522	10953353	Calicheamicin
SIDM00523	10953353	Calicheamicin
SIDM00521	10953353	Calicheamicin
SIDM00653	10953353	Calicheamicin
SIDM00652	10953353	Calicheamicin
SIDM00650	10953353	Calicheamicin
SIDM00648	10953353	Calicheamicin
SIDM00698	10953353	Calicheamicin
SIDM00735	10953353	Calicheamicin
SIDM00699	10953353	Calicheamicin
SIDM00731	10953353	Calicheamicin
SIDM00766	10953353	Calicheamicin
SIDM00792	10953353	Calicheamicin
SIDM00741	10953353	Calicheamicin
SIDM00767	10953353	Calicheamicin
SIDM00710	10953353	Calicheamicin
SIDM00706	10953353	Calicheamicin
SIDM00704	10953353	Calicheamicin
SIDM00733	10953353	Calicheamicin
SIDM00730	10953353	Calicheamicin
SIDM00761	10953353	Calicheamicin
SIDM01118	10953353	Calicheamicin
SIDM00865	10953353	Calicheamicin
SIDM00953	10953353	Calicheamicin
SIDM00965	10953353	Calicheamicin
SIDM00927	10953353	Calicheamicin
SIDM01071	10953353	Calicheamicin
SIDM01078	10953353	Calicheamicin
SIDM01126	10953353	Calicheamicin
SIDM01121	10953353	Calicheamicin
SIDM01117	10953353	Calicheamicin
SIDM01131	10953353	Calicheamicin
SIDM01134	10953353	Calicheamicin
SIDM01149	10953353	Calicheamicin
SIDM00029	10953353	Calicheamicin
SIDM00367	10953353	Calicheamicin
SIDM01482	10953353	Calicheamicin
SIDM01490	10953353	Calicheamicin
SIDM01504	10953353	Calicheamicin
SIDM01672	10953353	Calicheamicin
SIDM01503	10953353	Calicheamicin
SIDM01675	10953353	Calicheamicin
SIDM00524	10953353	Calicheamicin
SIDM00654	10953353	Calicheamicin
SIDM00760	10953353	Calicheamicin
SIDM00721	10953353	Calicheamicin
SIDM00770	10953353	Calicheamicin
SIDM01129	10953353	Calicheamicin
SIDM01128	10953353	Calicheamicin
SIDM01679	10953353	Calicheamicin
SIDM00511	10953353	Calicheamicin
SIDM00697	10953353	Calicheamicin
SIDM00293	10953353	Calicheamicin
SIDM01156	10953353	Calicheamicin
SIDM00368	10953353	Calicheamicin
SIDM00915	10953353	Calicheamicin
SIDM00509	10953353	Calicheamicin
